Ref,Val,Package,PosX,PosY,Rot,Side
"JP1","JUMPER","GAP",186.130000,-40.890000,0.000000,top
"STAR_1","STAR_FRONT","STAR",95.932500,-140.557500,0.000000,top
"SW0:7","SW0:6","MX_FLIP_DIODE",34.698940,-143.268700,25.000000,top
"SW0:8","SW0:5","MX_FLIP_DIODE",51.963320,-135.219440,25.000000,top
"SW0:9","SW0:4","MX_FLIP_DIODE",42.748200,-160.533080,25.000000,top
"SW0:10","SW0:3","MX_FLIP_DIODE",81.302860,-153.065480,115.000000,top
"SW0:11","SW0:2","MX_FLIP_DIODE",64.038480,-161.117280,115.000000,top
"SW0:12","SW0:1","MX_FLIP_DIODE",50.800000,-177.800000,25.000000,top
"SW1:9","SW1:4","MX_FLIP_DIODE",110.490000,-140.027660,0.000000,top
"SW1:10","SW1:3","MX_FLIP_DIODE",129.540000,-138.430000,0.000000,top
"SW1:11","SW1:2","MX_FLIP_DIODE",148.590000,-140.027660,0.000000,top
"SW1:12","SW1:1","MX_FLIP_DIODE",167.640000,-143.202660,0.000000,top
"SW1:13","SW1:0","MX_FLIP_DIODE",186.690000,-143.202660,0.000000,top
"SW2:7","SW2:6","MX_FLIP_DIODE",72.390000,-117.485160,90.000000,top
"SW2:8","SW2:5","MX_FLIP_DIODE",91.440000,-122.247660,0.000000,top
"SW2:9","SW2:4","MX_FLIP_DIODE",110.490000,-120.977660,0.000000,top
"SW2:10","SW2:3","MX_FLIP_DIODE",129.540000,-119.380000,0.000000,top
"SW2:11","SW2:2","MX_FLIP_DIODE",148.590000,-120.977660,0.000000,top
"SW2:12","SW2:1","MX_FLIP_DIODE",167.640000,-124.152660,0.000000,top
"SW2:13","SW2:0","MX_FLIP_XX",191.452500,-124.152660,0.000000,top
"SW3:8","SW3:5","MX_FLIP_DIODE",91.440000,-103.197660,0.000000,top
"SW3:9","SW3:4","MX_FLIP_DIODE",110.490000,-101.927660,0.000000,top
"SW3:10","SW3:3","MX_FLIP_DIODE",129.540000,-100.330000,0.000000,top
"SW3:11","SW3:2","MX_FLIP_DIODE",148.590000,-101.927660,0.000000,top
"SW3:12","SW3:1","MX_FLIP_DIODE",167.640000,-105.102660,0.000000,top
"SW3:13","SW3:0","MX_FLIP_XX",191.452500,-105.102660,0.000000,top
"SW4:13","SW4:0","MX_FLIP_XX",191.452500,-86.052660,0.000000,top
"SW5:7","SW5:6","MX_FLIP_DIODE",72.390000,-65.100200,0.000000,top
"SW5:8","SW5:5","MX_FLIP_DIODE",91.440000,-65.100200,0.000000,top
"SW5:9","SW5:4","MX_FLIP_DIODE",110.490000,-63.827660,0.000000,top
"SW5:10","SW5:3","MX_FLIP_DIODE",129.540000,-62.230000,0.000000,top
"SW5:11","SW5:2","MX_FLIP_DIODE",148.590000,-63.827660,0.000000,top
"SW5:12","SW5:1","MX_FLIP_DIODE",167.640000,-67.005200,0.000000,top
"SW5:13","SW5:0","MX_FLIP_XX",191.452500,-67.005200,0.000000,top
"SW_RST1","SWITCH_PUSH","SW_SPST_B3U-1000P",194.500000,-41.450000,270.000000,top
